"Rank","Name","W","L","Pct"
"","Tennessee","16","15","51.6"
"","UMKC","16","15","51.6"
"181","Missouri St.","17","16","51.5"
"","Southern Ill.","17","16","51.5"
"","Santa Clara","17","16","51.5"
"184","Siena","17","17","50.0"
"","Campbell","17","17","50.0"
"","Navy","16","16","50.0"
"","Saint Francis (PA)","16","16","50.0"
"","Southeastern La.","16","16","50.0"
"","Montana St.","16","16","50.0"
"","Central Mich.","16","16","50.0"
"","Eastern Mich.","16","16","50.0"
"","Grambling","16","16","50.0"
"","Coastal Caro.","16","16","50.0"
"","Loyola Marymount","15","15","50.0"
"","Portland St.","15","15","50.0"
"196","Murray St.","16","17","48.5"
"","Evansville","16","17","48.5"
"","Wofford","16","17","48.5"
"","Pittsburgh","16","17","48.5"
"200","High Point","15","16","48.4"
"","Northeastern","15","16","48.4"
"","Loyola Maryland","15","16","48.4"
"203","Morgan St.","14","15","48.3"
"","Utah Valley","14","15","48.3"
"","Hampton","14","15","48.3"
"","Eastern Ill.","14","15","48.3"
"","San Jose St.","14","15","48.3"
"","Hawaii","14","15","48.3"
"209","Penn","13","14","48.1"
"210","Little Rock","15","17","46.9"
"","Holy Cross","15","17","46.9"
"","Hofstra","15","17","46.9"
"","Rutgers","15","17","46.9"
"","Penn St.","15","17","46.9"
"","Western Ky.","15","17","46.9"
"","Northern Ill.","15","17","46.9"
"","North Carolina St.","15","17","46.9"
"","Southern U.","15","17","46.9"
"","Massachusetts","15","17","46.9"
"","Mercer","15","17","46.9"
"","Arizona St.","15","17","46.9"
"222","UConn","14","16","46.7"
"","Morehead St.","14","16","46.7"
"","UNI","14","16","46.7"
"","Tulsa","14","16","46.7"
"","UTEP","14","16","46.7"
"227","Southeast Mo. St.","15","18","45.5"
"","Ill.-Chicago","15","18","45.5"
"229","East Carolina","14","17","45.2"
"","Stanford","14","17","45.2"
"","Nicholls St.","14","17","45.2"
"232","Seattle U","13","16","44.8"
"","Utah St.","13","16","44.8"
"","Northwestern St.","13","16","44.8"
"","Savannah St.","13","16","44.8"
"236","North Florida","15","19","44.1"
"237","Georgetown","14","18","43.8"
"","IUPUI","14","18","43.8"
"","St. John's (NY)","14","18","43.8"
"","UTSA","14","18","43.8"
"","Jackson St.","14","18","43.8"
"","South Ala.","14","18","43.8"
"","Long Beach St.","14","18","43.8"
"","Kennesaw St.","14","18","43.8"
"","Radford","14","18","43.8"
"246","Brown","13","17","43.3"
"","Sacramento St.","13","17","43.3"
"","Charlotte","13","17","43.3"
"249","Robert Morris","14","19","42.4"
"250","San Diego","13","18","41.9"
"","Fordham","13","18","41.9"
"","Washington St.","13","18","41.9"
"253","Columbia","11","16","40.7"
"254","UMES","13","19","40.6"
"","Army West Point","13","19","40.6"
"","Bowling Green","13","19","40.6"
"","Sacred Heart","13","19","40.6"
"258","Prairie View","13","20","39.4"
"","Bradley","13","20","39.4"
"","Delaware","13","20","39.4"
"261","Nebraska","12","19","38.7"
"","Charleston So.","12","19","38.7"
"","Eastern Ky.","12","19","38.7"
"264","Youngstown St.","13","21","38.2"
"265","Northern Colo.","11","18","37.9"
"","CSUN","11","18","37.9"
"267","Binghamton","12","20","37.5"
"","Air Force","12","20","37.5"
"","Bryant","12","20","37.5"
"","Saint Louis","12","20","37.5"
"","Tennessee Tech","12","20","37.5"
"272","Fairleigh Dickinson","11","19","36.7"
"","Austin Peay","11","19","36.7"
"","Cal Poly","11","19","36.7"
"275","The Citadel","12","21","36.4"
"276","South Carolina St.","11","20","35.5"
"","Saint Joseph's","11","20","35.5"
"","Indiana St.","11","20","35.5"
"","NJIT","11","20","35.5"
"","Oklahoma","11","20","35.5"
"281","Texas","11","21","34.4"
"","Miami (OH)","11","21","34.4"
"","UNLV","11","21","34.4"
"","Stetson","11","21","34.4"
"285","Portland","11","22","33.3"
"","Pacific","11","22","33.3"
"","Fla. Atlantic","10","20","33.3"
"288","UTRGV","10","21","32.3"
"","LSU","10","21","32.3"
"","Quinnipiac","10","21","32.3"
"291","Milwaukee","11","24","31.4"
"292","Bethune-Cookman","10","22","31.3"
"","Delaware St.","10","22","31.3"
"","Colgate","10","22","31.3"
"","Manhattan","10","22","31.3"
"","Duquesne","10","22","31.3"
"297","Howard","10","23","30.3"
"","James Madison","10","23","30.3"
"","Niagara","10","23","30.3"
"300","Appalachian St.","9","21","30.0"
"","Washington","9","21","30.0"
"","Lafayette","9","21","30.0"
"303","Southern Miss.","9","22","29.0"
"","Cleveland St.","9","22","29.0"
"","Pepperdine","9","22","29.0"
"306","Western Ill.","8","20","28.6"
"307","La.-Monroe","9","23","28.1"
"","Boston College","9","23","28.1"
"","Drexel","9","23","28.1"
"","DePaul","9","23","28.1"
"","Hartford","9","23","28.1"
"","Northern Ariz.","9","23","28.1"
"","Western Caro.","9","23","28.1"
"314","Cornell","8","21","27.6"
"315","Oral Roberts","8","22","26.7"
"","American","8","22","26.7"
"","North Texas","8","22","26.7"
