"Rank","Name","W","L","Pct"
"52","Fresno St.","30","19-11","686","1661","41.3"
"53","Purdue","31","25-6","786","1902","41.3"
"54","UT Arlington","31","24-7","741","1793","41.3"
"55","Idaho","29","17-12","662","1600","41.4"
"56","Ohio","29","19-10","720","1739","41.4"
"57","Mercer","32","15-17","735","1771","41.5"
"58","Jacksonville St.","34","20-14","785","1891","41.5"
"59","Utah","30","20-10","734","1768","41.5"
"60","ETSU","34","27-7","793","1909","41.5"
"61","North Carolina","32","26-6","794","1910","41.6"
"62","Ohio St.","32","17-15","791","1902","41.6"
"63","Arizona","31","27-4","735","1767","41.6"
"64","Buffalo","31","17-14","776","1864","41.6"
"65","Bradley","33","13-20","775","1861","41.6"
"66","Ball St.","31","20-11","795","1909","41.6"
"67","Villanova","31","28-3","726","1743","41.7"
"68","Kansas","31","28-3","794","1905","41.7"
"69","UCLA","31","28-3","860","2061","41.7"
"70","Gardner-Webb","33","19-14","787","1886","41.7"
"71","Coastal Caro.","32","16-16","795","1903","41.8"
"72","Col. of Charleston","34","25-9","785","1879","41.8"
"73","Princeton","27","21-6","585","1399","41.8"
"74","Penn","27","13-14","626","1497","41.8"
"75","Towson","33","20-13","740","1769","41.8"
"76","VCU","31","24-7","705","1685","41.8"
"77","Memphis","31","19-12","763","1822","41.9"
"78","Indiana St.","31","11-20","758","1808","41.9"
"79","San Francisco","32","20-12","764","1822","41.9"
"80","Saint Peter's","32","19-13","705","1681","41.9"
"81","New Mexico St.","30","25-5","730","1740","42.0"
"82","Texas St.","30","18-12","662","1577","42.0"
"83","Furman","32","21-11","735","1750","42.0"
"84","Elon","32","18-14","836","1990","42.0"
"85","Alcorn","30","17-13","725","1724","42.1"
"86","Middle Tenn.","31","27-4","675","1604","42.1"
"87","Vermont","33","28-5","760","1805","42.1"
"","FGCU","33","26-7","800","1900","42.1"
"89","Eastern Mich.","32","16-16","747","1774","42.1"
"90","Evansville","33","16-17","758","1800","42.1"
"91","Utah Valley","29","14-15","768","1822","42.2"
"92","Georgetown","32","14-18","798","1893","42.2"
"93","Boise St.","29","19-10","695","1647","42.2"
"94","UC Riverside","27","7-20","652","1542","42.3"
"95","West Virginia","31","24-7","689","1629","42.3"
"96","Arkansas","31","23-8","779","1841","42.3"
"97","George Mason","31","19-12","808","1909","42.3"
"98","Utah St.","29","13-16","723","1708","42.3"
"99","Cal St. Fullerton","29","16-13","696","1644","42.3"
"100","UTEP","30","14-16","698","1647","42.4"
"101","Texas","32","11-21","797","1878","42.4"
"102","Ole Miss","31","19-12","803","1891","42.5"
"103","UNCG","34","25-9","803","1890","42.5"
"104","Ill.-Chicago","33","15-18","901","2120","42.5"
"105","Boston U.","32","18-14","769","1809","42.5"
"106","Southern U.","32","15-17","821","1931","42.5"
"107","Sam Houston St.","32","20-12","736","1731","42.5"
"108","Indiana","31","17-14","784","1843","42.5"
"109","Kentucky","31","26-5","803","1887","42.6"
"110","Notre Dame","31","23-8","783","1840","42.6"
"111","Belmont","28","22-6","689","1619","42.6"
"112","Bucknell","34","26-8","830","1950","42.6"
"113","Howard","33","10-23","815","1914","42.6"
"114","New Hampshire","32","20-12","787","1848","42.6"
"115","Samford","34","19-15","905","2125","42.6"
"116","Nevada","31","25-6","814","1911","42.6"
"117","Colorado","32","19-13","800","1878","42.6"
"118","Mississippi St.","31","16-15","767","1799","42.6"
"119","Vanderbilt","31","17-14","765","1794","42.6"
"120","LIU Brooklyn","32","20-12","766","1796","42.7"
"121","Tennessee","31","16-15","763","1786","42.7"
"122","Saint Francis (PA)","32","16-16","866","2027","42.7"
"123","Syracuse","32","18-14","805","1884","42.7"
"124","Iowa St.","30","20-10","793","1855","42.7"
"125","Rider","33","18-15","859","2007","42.8"
"126","Temple","31","16-15","779","1820","42.8"
"127","Missouri","31","8-23","756","1766","42.8"
"128","Davidson","29","15-14","727","1698","42.8"
"129","Penn St.","32","15-17","828","1933","42.8"
"130","Southern California","31","23-8","837","1954","42.8"
"","Troy","33","19-14","837","1954","42.8"
"132","Ga. Southern","31","18-13","792","1848","42.9"
"133","North Dakota St.","30","19-11","757","1764","42.9"
"134","Portland","33","11-22","846","1971","42.9"
"135","Kansas St.","31","19-12","734","1710","42.9"
"136","South Dakota","33","22-11","853","1987","42.9"
"137","UNI","30","14-16","697","1623","42.9"
"138","Hampton","29","14-15","691","1609","42.9"
"139","St. Bonaventure","30","19-11","731","1702","42.9"
"140","UTSA","32","14-18","763","1776","43.0"
"141","South Fla.","29","7-22","718","1671","43.0"
"142","Green Bay","31","18-13","852","1981","43.0"
"143","UAB","32","17-15","813","1890","43.0"
"144","Southeastern La.","32","16-16","752","1747","43.0"
"145","Yale","27","17-10","692","1607","43.1"
"146","Kent St.","32","19-13","826","1918","43.1"
"147","Eastern Ill.","29","14-15","718","1667","43.1"
"148","Oklahoma","31","11-20","806","1871","43.1"
"149","Liberty","32","19-13","675","1565","43.1"
"150","UC Davis","31","19-12","768","1780","43.1"
"151","Tennessee Tech","32","12-20","788","1826","43.2"
"152","Texas Tech","32","18-14","731","1693","43.2"
"153","North Texas","30","8-22","784","1815","43.2"
"154","Iona","34","22-12","916","2120","43.2"
"155","Miami (OH)","32","11-21","796","1842","43.2"
"156","La.-Monroe","32","9-23","794","1835","43.3"
"157","Arkansas St.","32","20-12","760","1756","43.3"
"158","Duke","32","24-8","820","1892","43.3"
"159","Seton Hall","30","20-10","739","1705","43.3"
"160","Columbia","27","11-16","673","1552","43.4"
"161","Saint Joseph's","31","11-20","779","1795","43.4"
"162","Lehigh","32","20-12","816","1880","43.4"
"163","Missouri St.","33","17-16","801","1845","43.4"
"164","Illinois","31","18-13","776","1787","43.4"
"165","Albany (NY)","33","21-12","770","1773","43.4"
"166","Jackson St.","32","14-18","696","1602","43.4"
"167","New Mexico","30","17-13","745","1714","43.5"
"168","Richmond","30","19-11","743","1709","43.5"
"169","Northern Ill.","32","15-17","777","1786","43.5"
"170","Tulsa","30","14-16","739","1697","43.5"
"171","USC Upstate","32","17-15","889","2041","43.6"
"172","Creighton","31","23-8","835","1917","43.6"
"173","Eastern Wash.","31","21-10","812","1862","43.6"
"174","Western Ill.","28","8-20","729","1671","43.6"
"175","Auburn","32","18-14","861","1972","43.7"
"176","Fairfield","30","16-14","799","1829","43.7"
"177","Rice","32","22-10","856","1957","43.7"
"178","Duquesne","32","10-22","843","1926","43.8"
"179","Campbell","34","17-17","822","1876","43.8"
"180","Robert Morris","33","14-19","777","1773","43.8"
"181","Iowa","31","18-13","880","2007","43.8"
"182","James Madison","33","10-23","775","1767","43.9"
"183","A&M-Corpus Christi","29","19-10","719","1639","43.9"
"184","Stony Brook","31","18-13","724","1649","43.9"
"185","Morgan St.","29","14-15","725","1651","43.9"
"186","Southern Miss.","31","9-22","776","1766","43.9"
"187","High Point","31","15-16","754","1715","44.0"
"188","Northern Ky.","34","24-10","891","2026","44.0"
"189","Army West Point","32","13-19","839","1907","44.0"
"190","New Orleans","29","18-11","722","1640","44.0"
"191","Niagara","33","10-23","921","2090","44.1"
"192","TCU","32","18-14","810","1837","44.1"
"193","Akron","31","24-7","783","1775","44.1"
"194","Providence","31","20-11","763","1729","44.1"
"","Saint Louis","32","12-20","763","1729","44.1"
"196","Wright St.","32","20-12","804","1821","44.2"
"197","William & Mary","31","17-14","838","1898","44.2"
"198","UT Martin","33","21-12","875","1980","44.2"
"199","South Ala.","32","14-18","793","1793","44.2"
"200","Fort Wayne","31","19-12","841","1898","44.3"
"201","North Dakota","28","19-9","713","1609","44.3"
"202","Butler","30","23-7","717","1618","44.3"
"203","Lipscomb","33","20-13","872","1967","44.3"
"204","Eastern Ky.","31","12-19","785","1770","44.4"
"205","Alabama St.","31","8-23","798","1799","44.4"
"206","N.C. A&T","32","3-29","816","1839","44.4"
"207","Stanford","31","14-17","751","1691","44.4"
"208","George Washington","31","18-13","802","1805","44.4"
"209","Denver","30","16-14","756","1700","44.5"
"210","Chattanooga","31","19-12","748","1682","44.5"
"211","Little Rock","32","15-17","739","1661","44.5"
"212","Oregon St.","32","5-27","798","1793","44.5"
"213","Western Caro.","32","9-23","770","1730","44.5"
"214","UNC Asheville","32","23-9","786","1765","44.5"
"215","Delaware St.","32","10-22","814","1826","44.6"
"216","Delaware","33","13-20","813","1823","44.6"
"217","Hawaii","29","14-15","700","1569","44.6"
"218","Radford","32","14-18","826","1851","44.6"
"219","Loyola Chicago","32","18-14","766","1716","44.6"
"220","Virginia Tech","31","22-9","850","1904","44.6"
"221","UC Santa Barbara","28","6-22","702","1572","44.7"
"222","Southern Ill.","33","17-16","812","1817","44.7"
"223","Nebraska","31","12-19","805","1800","44.7"
"224","Siena","34","17-17","901","2014","44.7"
"225","North Florida","34","15-19","960","2143","44.8"
"226","Ark.-Pine Bluff","32","7-25","731","1631","44.8"
"227","Mt. St. Mary's","34","19-15","863","1925","44.8"
"228","McNeese","29","7-22","796","1774","44.9"
"229","Pittsburgh","33","16-17","910","2028","44.9"
"230","Montana St.","32","16-16","815","1816","44.9"
"231","Pacific","33","11-22","800","1782","44.9"
"232","Texas Southern","32","21-11","863","1922","44.9"
"233","Loyola Marymount","30","15-15","718","1599","44.9"
"234","Sacramento St.","30","13-17","795","1770","44.9"
"235","Binghamton","32","12-20","815","1813","45.0"
"236","Murray St.","33","16-17","879","1955","45.0"
"237","Xavier","32","20-12","812","1805","45.0"
"238","North Carolina St.","32","15-17","918","2039","45.0"
"239","Weber St.","29","17-12","790","1753","45.1"
"240","UMBC","30","18-12","804","1784","45.1"
"241","UNLV","32","11-21","882","1957","45.1"
"242","Fla. Atlantic","30","10-20","799","1771","45.1"
"243","Fairleigh Dickinson","30","11-19","769","1704","45.1"
"244","Colgate","32","10-22","782","1732","45.2"
"245","Santa Clara","33","17-16","769","1703","45.2"
"246","South Dakota St.","34","18-16","938","2077","45.2"
"247","Bryant","32","12-20","860","1904","45.2"
"248","Western Ky.","32","15-17","853","1887","45.2"
"249","Savannah St.","29","13-16","960","2123","45.2"
"250","Wake Forest","32","19-13","860","1901","45.2"
"251","Manhattan","32","10-22","796","1759","45.3"
"252","Holy Cross","32","15-17","702","1551","45.3"
"253","Clemson","32","17-15","848","1869","45.4"
"254","SFA","30","17-13","704","1550","45.4"
"255","Hartford","32","9-23","874","1924","45.4"
"256","Stetson","32","11-21","964","2122","45.4"
"257","Northeastern","31","15-16","806","1773","45.5"
"258","Navy","32","16-16","708","1557","45.5"
"259","Northern Colo.","29","11-18","763","1677","45.5"
"260","St. John's (NY)","32","14-18","868","1905","45.6"
"261","Florida A&M","30","7-23","836","1834","45.6"
"262","San Jose St.","29","14-15","743","1629","45.6"
"263","Air Force","32","12-20","831","1821","45.6"
"264","Cornell","29","8-21","807","1768","45.6"
"265","Lafayette","30","9-21","807","1767","45.7"
"266","Marquette","30","19-11","796","1742","45.7"
"267","CSUN","29","11-18","813","1779","45.7"
"268","UMES","32","13-19","829","1814","45.7"
"269","UMKC","31","16-15","848","1854","45.7"
"270","Cleveland St.","31","9-22","771","1685","45.8"
"271","Presbyterian","30","5-25","766","1674","45.8"
"272","Houston Baptist","29","17-12","782","1707","45.8"
"273","Lamar University","32","19-13","805","1757","45.8"
"274","Northern Ariz.","32","9-23","879","1916","45.9"
"275","Appalachian St.","30","9-21","788","1717","45.9"
"276","Prairie View","33","13-20","806","1756","45.9"
"277","San Diego","31","13-18","785","1710","45.9"
"278","Montana","31","16-15","774","1686","45.9"
"279","NJIT","31","11-20","814","1773","45.9"
"280","Sacred Heart","32","13-19","871","1895","46.0"
"281","Toledo","32","17-15","929","2021","46.0"
"282","Central Mich.","32","16-16","1022","2223","46.0"
"283","Washington St.","31","13-18","881","1916","46.0"
"284","Marist","32","8-24","879","1909","46.0"
"285","Charleston So.","31","12-19","795","1725","46.1"
"286","Maine","32","7-25","861","1868","46.1"
"287","Drake","31","7-24","866","1878","46.1"
"288","Morehead St.","30","14-16","780","1689","46.2"
"289","Youngstown St.","34","13-21","1034","2239","46.2"
"290","Drexel","32","9-23","877","1899","46.2"
"291","Hofstra","32","15-17","904","1955","46.2"
"292","Marshall","32","18-14","1018","2198","46.3"
"293","Fordham","31","13-18","707","1526","46.3"
"294","Omaha","32","18-14","941","2030","46.4"
"295","Bowling Green","32","13-19","879","1893","46.4"
"296","Quinnipiac","31","10-21","899","1936","46.4"
"297","Michigan","31","20-11","766","1647","46.5"
"298","Milwaukee","35","11-24","891","1915","46.5"
"","Long Beach St.","32","14-18","891","1915","46.5"
"300","FIU","31","7-24","809","1738","46.5"
"301","Central Ark.","32","8-24","945","2030","46.6"
"302","La Salle","29","15-14","783","1681","46.6"
"303","DePaul","32","9-23","812","1743","46.6"
"304","SIUE","30","6-24","787","1688","46.6"
"305","Chicago St.","31","6-25","849","1819","46.7"
"306","Central Conn. St.","29","6-23","749","1602","46.8"
"307","Washington","30","9-21","873","1867","46.8"
"308","Charlotte","30","13-17","870","1860","46.8"
"309","Oral Roberts","30","8-22","857","1832","46.8"
"310","Oklahoma St.","31","20-11","816","1744","46.8"
"311","Coppin St.","33","8-25","890","1901","46.8"
"312","Loyola Maryland","31","15-16","762","1627","46.8"
"313","Nicholls St.","31","14-17","882","1883","46.8"
"314","American","30","8-22","716","1528","46.9"
"315","Dartmouth","27","7-20","740","1578","46.9"
"316","Bethune-Cookman","32","10-22","886","1889","46.9"
"317","Northwestern St.","29","13-16","816","1738","47.0"
"318","Boston College","32","9-23","864","1840","47.0"
"319","Cal Poly","30","11-19","770","1638","47.0"
"320","Kennesaw St.","32","14-18","885","1877","47.1"
"321","Wofford","33","16-17","881","1868","47.2"
"322","IUPUI","32","14-18","860","1823","47.2"
"323","LSU","31","10-21","897","1899","47.2"
"324","Louisiana","32","21-11","878","1858","47.3"
"325","Western Mich.","31","16-15","836","1768","47.3"
"326","UTRGV","31","10-21","860","1817","47.3"
"327","Alabama A&M","29","2-27","822","1736","47.4"
"328","Jacksonville","32","17-15","851","1796","47.4"
"329","St. Francis Brooklyn","31","4-27","795","1677","47.4"
"330","Southern Utah","32","6-26","888","1873","47.4"
"331","Tulane","30","6-24","824","1738","47.4"
"332","Grambling","32","16-16","815","1717","47.5"
"333","Longwood","30","6-24","874","1833","47.7"
"334","UNCW","34","29-5","912","1912","47.7"
"335","Southeast Mo. St.","33","15-18","857","1794","47.8"
"336","Portland St.","30","15-15","867","1814","47.8"
"337","Arizona St.","32","15-17","948","1980","47.9"
"338","Idaho St.","31","5-26","879","1827","48.1"
"339","VMI","30","6-24","826","1709","48.3"
"340","South Carolina St.","31","11-20","886","1832","48.4"
"341","Canisius","33","18-15","931","1921","48.5"
"342","Pepperdine","31","9-22","910","1875","48.5"
"343","Mississippi Val.","32","7-25","935","1910","49.0"
"344","Austin Peay","30","11-19","922","1877","49.1"
"345","Brown","30","13-17","832","1669","49.9"
"346","Detroit Mercy","31","8-23","894","1789","50.0"
"347","The Citadel","33","12-21","1106","2162","51.2"
Reclassifying
"NR","Grand Canyon","31","22-9","759","1805","42.0"
"NR","Abilene Christian","29","13-16","708","1556","45.5"
"NR","Incarnate Word","29","12-17","829","1798","46.1"
"NR","UMass Lowell","31","11-20","872","1882","46.3"

NCAA Men's Basketball
Division IThree-Point Field Goals Per Game
Through Games 03/08/2017


"Rank","Name","GM","W-L","3FG","3PG"
"1","Savannah St.","29","13-16","392","13.5"
"2","Central Mich.","32","16-16","399","12.5"
"3","The Citadel","33","12-21","397","12.0"
"4","Fort Wayne","31","19-12","333","10.7"
"5","Akron","31","24-7","324","10.5"
"6","Marquette","30","19-11","312","10.4"
"7","Lipscomb","33","20-13","340","10.3"
"8","Princeton","27","21-6","274","10.1"
"9","UCLA","31","28-3","314","10.1"
"10","Marshall","32","18-14","323","10.1"
"11","Belmont","28","22-6","281","10.0"
"12","Montana St.","32","16-16","320","10.0"
"13","Arizona St.","32","15-17","319","10.0"
"","Jacksonville","32","17-15","319","10.0"
"15","Iowa St.","30","20-10","299","10.0"
"16","Vanderbilt","31","17-14","307","9.9"
"17","Iona","34","22-12","332","9.8"
"18","Santa Clara","33","17-16","318","9.6"
"19","Elon","32","18-14","308","9.6"
"20","Wyoming","32","18-14","307","9.6"
"21","UNCW","34","29-5","326","9.6"
"22","UMBC","30","18-12","287","9.6"
"23","Notre Dame","31","23-8","296","9.5"
"24","Michigan","31","20-11","295","9.5"
"25","Winthrop","32","26-6","304","9.5"
"26","Ohio","29","19-10","274","9.4"
"27","Wofford","33","16-17","311","9.4"
"28","Rice","32","22-10","301","9.4"
"29","Ga. Southern","31","18-13","290","9.4"
"30","Omaha","32","18-14","297","9.3"
"31","Nevada","31","25-6","286","9.2"
"32","Canisius","33","18-15","304","9.2"
"33","South Dakota St.","34","18-16","313","9.2"
"34","Ball St.","31","20-11","284","9.2"
"35","Furman","32","21-11","293","9.2"
"36","Davidson","29","15-14","265","9.1"
"","Weber St.","29","17-12","265","9.1"
"38","UMKC","31","16-15","283","9.1"
"","William & Mary","31","17-14","283","9.1"
"40","San Francisco","32","20-12","292","9.1"
"41","Army West Point","32","13-19","291","9.1"
"","Hofstra","32","15-17","291","9.1"
"43","Western Ill.","28","8-20","254","9.1"
"44","Liberty","32","19-13","290","9.1"
"45","Purdue","31","25-6","280","9.0"
"46","Auburn","32","18-14","289","9.0"
"47","IUPUI","32","14-18","288","9.0"
"","Oklahoma St.","31","20-11","279","9.0"
"49","Temple","31","16-15","278","9.0"
"","Nicholls St.","31","14-17","278","9.0"
"51","Eastern Ill.","29","14-15","259","8.9"
"52","Wright St.","32","20-12","285","8.9"
"53","Virginia Tech","31","22-9","275","8.9"
"54","Utah Valley","29","14-15","257","8.9"
"55","UNCG","34","25-9","301","8.9"
"56","Syracuse","32","18-14","283","8.8"
"","Southern Utah","32","6-26","283","8.8"
"58","Creighton","31","23-8","274","8.8"
"59","St. Mary's (CA)","32","28-4","282","8.8"
"60","Northern Colo.","29","11-18","254","8.8"
"","Seattle U","29","13-16","254","8.8"
"62","Murray St.","33","16-17","289","8.8"
"63","USC Upstate","32","17-15","280","8.8"
"64","Villanova","31","28-3","271","8.7"
"","Oregon","31","27-4","271","8.7"
"66","Coastal Caro.","32","16-16","279","8.7"
"67","Drake","31","7-24","270","8.7"
"68","Wichita St.","34","30-4","296","8.7"
"69","Monmouth","33","27-6","287","8.7"
"70","Kansas","31","28-3","269","8.7"
"","Indiana","31","17-14","269","8.7"
"72","North Florida","34","15-19","295","8.7"
"73","Troy","33","19-14","285","8.6"
"74","Northeastern","31","15-16","267","8.6"
"75","Northern Ky.","34","24-10","292","8.6"
"76","Boston U.","32","18-14","274","8.6"
"77","Iowa","31","18-13","265","8.5"
"","UTRGV","31","10-21","265","8.5"
"79","UT Arlington","31","24-7","264","8.5"
"80","Houston","30","21-9","255","8.5"
"81","Colgate","32","10-22","271","8.5"
"82","La Salle","29","15-14","245","8.4"
"83","Lehigh","32","20-12","270","8.4"
"84","Cornell","29","8-21","244","8.4"
"85","St. John's (NY)","32","14-18","269","8.4"
"86","Penn","27","13-14","226","8.4"
"87","Cal Poly","30","11-19","251","8.4"
"","Appalachian St.","30","9-21","251","8.4"
"89","Maryland","31","24-7","259","8.4"
"90","NJIT","31","11-20","258","8.3"
"","San Diego","31","13-18","258","8.3"
"92","Duke","32","24-8","266","8.3"
"93","Fairfield","30","16-14","249","8.3"
"94","VMI","30","6-24","248","8.3"
"95","Eastern Wash.","31","21-10","256","8.3"
"96","Fordham","31","13-18","255","8.2"
"97","Delaware St.","32","10-22","263","8.2"
"","Hartford","32","9-23","263","8.2"
"99","Illinois St.","33","27-6","271","8.2"
"100","Indiana St.","31","11-20","254","8.2"
"101","Missouri St.","33","17-16","270","8.2"
"102","SMU","31","27-4","253","8.2"
"103","Stetson","32","11-21","261","8.2"
"104","Harvard","27","18-9","220","8.1"
"105","Bucknell","34","26-8","277","8.1"
"106","Brown","30","13-17","244","8.1"
"107","Air Force","32","12-20","260","8.1"
"108","Boise St.","29","19-10","235","8.1"
"109","Detroit Mercy","31","8-23","251","8.1"
"110","Loyola Chicago","32","18-14","259","8.1"
"","Wake Forest","32","19-13","259","8.1"
"112","UNC Asheville","32","23-9","258","8.1"
"113","UT Martin","33","21-12","266","8.1"
"114","Dayton","30","24-6","241","8.0"
"115","George Washington","31","18-13","249","8.0"
"116","New Hampshire","32","20-12","256","8.0"
"","Boston College","32","9-23","256","8.0"
"","Saint Peter's","32","19-13","256","8.0"
"","Drexel","32","9-23","256","8.0"
"120","Samford","34","19-15","271","8.0"
"121","Southeast Mo. St.","33","15-18","263","8.0"
"","Pittsburgh","33","16-17","263","8.0"
"123","Saint Francis (PA)","32","16-16","255","8.0"
"124","Louisiana Tech","31","22-9","247","8.0"
"125","Southern California","31","23-8","246","7.9"
"126","Mississippi St.","31","16-15","245","7.9"
"","Stony Brook","31","18-13","245","7.9"
"128","Charlotte","30","13-17","237","7.9"
"129","UMES","32","13-19","252","7.9"
"130","Michigan St.","31","18-13","243","7.8"
"131","Portland St.","30","15-15","235","7.8"
"132","Columbia","27","11-16","211","7.8"
"133","Lamar University","32","19-13","250","7.8"
"134","Florida","31","24-7","242","7.8"
"135","Richmond","30","19-11","234","7.8"
"136","Milwaukee","35","11-24","272","7.8"
"137","Butler","30","23-7","233","7.8"
"138","Binghamton","32","12-20","248","7.8"
"139","N.C. Central","31","23-8","240","7.7"
"140","North Dakota St.","30","19-11","232","7.7"
"141","Idaho","29","17-12","224","7.7"
"142","Radford","32","14-18","247","7.7"
"143","Campbell","34","17-17","262","7.7"
"144","Marist","32","8-24","245","7.7"
"","Toledo","32","17-15","245","7.7"
"146","Idaho St.","31","5-26","237","7.6"
"147","UNI","30","14-16","229","7.6"
"","Georgia St.","30","19-11","229","7.6"
"149","Mercer","32","15-17","244","7.6"
"150","Ole Miss","31","19-12","236","7.6"
"151","Buffalo","31","17-14","235","7.6"
"","Eastern Ky.","31","12-19","235","7.6"
"153","Austin Peay","30","11-19","227","7.6"
"154","Illinois","31","18-13","234","7.5"
"155","Tennessee Tech","32","12-20","241","7.5"
"156","ETSU","34","27-7","256","7.5"
"157","Cincinnati","31","27-4","233","7.5"
"","West Virginia","31","24-7","233","7.5"
"159","UC Irvine","32","19-13","239","7.5"
"","Northern Ariz.","32","9-23","239","7.5"
"161","New Mexico St.","30","25-5","224","7.5"
"162","Chattanooga","31","19-12","231","7.5"
"163","Utah St.","29","13-16","216","7.4"
"164","Denver","30","16-14","223","7.4"
"165","Montana","31","16-15","230","7.4"
"166","Bryant","32","12-20","237","7.4"
"167","Tulsa","30","14-16","222","7.4"
"168","Ill.-Chicago","33","15-18","244","7.4"
"","Niagara","33","10-23","244","7.4"
"170","Wisconsin","31","23-8","229","7.4"
"171","Holy Cross","32","15-17","236","7.4"
"172","Dartmouth","27","7-20","199","7.4"
"","Yale","27","17-10","199","7.4"
"174","Lafayette","30","9-21","221","7.4"
"175","Charleston So.","31","12-19","228","7.4"
"","Quinnipiac","31","10-21","228","7.4"
"177","Youngstown St.","34","13-21","250","7.4"
"178","North Carolina","32","26-6","234","7.3"
"179","Gonzaga","33","32-1","241","7.3"
"180","Morehead St.","30","14-16","219","7.3"
"181","Jacksonville St.","34","20-14","248","7.3"
"182","Providence","31","20-11","226","7.3"
"183","Colorado","32","19-13","233","7.3"
"184","Washington","30","9-21","218","7.3"
"185","La.-Monroe","32","9-23","232","7.3"
"","Kent St.","32","19-13","232","7.3"
"","Clemson","32","17-15","232","7.3"
"188","Mt. St. Mary's","34","19-15","246","7.2"
"189","Loyola Marymount","30","15-15","217","7.2"
"190","Louisville","31","24-7","224","7.2"
"191","TCU","32","18-14","231","7.2"
"192","Hawaii","29","14-15","209","7.2"
"193","Tulane","30","6-24","216","7.2"
"","Oral Roberts","30","8-22","216","7.2"
"195","Kansas St.","31","19-12","223","7.2"
"","Kentucky","31","26-5","223","7.2"
"197","Central Ark.","32","8-24","230","7.2"
"198","Prairie View","33","13-20","237","7.2"
"199","Northwestern","31","21-10","222","7.2"
"200","St. Francis Brooklyn","31","4-27","221","7.1"
"201","Bethune-Cookman","32","10-22","228","7.1"
"","Massachusetts","32","15-17","228","7.1"
"203","Alcorn","30","17-13","213","7.1"
"204","Oakland","32","24-8","227","7.1"
"205","Florida St.","31","24-7","219","7.1"
"","Cleveland St.","31","9-22","219","7.1"
"","San Diego St.","31","18-13","219","7.1"
"208","Duquesne","32","10-22","226","7.1"
"","North Carolina St.","32","15-17","226","7.1"
"","Penn St.","32","15-17","226","7.1"
"","Louisiana","32","21-11","226","7.1"
"212","Xavier","32","20-12","225","7.0"
"","Saint Louis","32","12-20","225","7.0"
"214","Coppin St.","33","8-25","232","7.0"
"215","Virginia","31","22-9","217","7.0"
"","Northwestern St.","29","13-16","203","7.0"
"217","South Ala.","32","14-18","223","7.0"
"218","Colorado St.","31","21-10","215","6.9"
"219","UCF","30","20-10","207","6.9"
"220","North Dakota","28","19-9","193","6.9"
"221","Arkansas St.","32","20-12","220","6.9"
"","Bowling Green","32","13-19","220","6.9"
"223","Missouri","31","8-23","213","6.9"
"224","South Carolina","31","22-9","212","6.8"
"225","Jackson St.","32","14-18","218","6.8"
"226","Fla. Atlantic","30","10-20","204","6.8"
"227","Washington St.","31","13-18","209","6.7"
"","Baylor","31","25-6","209","6.7"
"229","UConn","30","14-16","202","6.7"
"","Alabama","30","17-13","202","6.7"
"231","McNeese","29","7-22","195","6.7"
"232","Southeastern La.","32","16-16","215","6.7"
"233","Chicago St.","31","6-25","208","6.7"
"234","Fairleigh Dickinson","30","11-19","201","6.7"
"","Utah","30","20-10","201","6.7"
"236","Western Ky.","32","15-17","214","6.7"
"","Valparaiso","32","24-8","214","6.7"
"238","UNLV","32","11-21","213","6.7"
"239","San Jose St.","29","14-15","193","6.7"
"240","Arkansas","31","23-8","206","6.6"
"241","BYU","33","22-11","219","6.6"
"242","Maine","32","7-25","212","6.6"
"","Texas Tech","32","18-14","212","6.6"
"244","Ohio St.","32","17-15","211","6.6"
"245","Norfolk St.","31","16-15","204","6.6"
"246","Bradley","33","13-20","217","6.6"
"","South Dakota","33","22-11","217","6.6"
"248","California","31","20-11","203","6.5"
"","Arizona","31","27-4","203","6.5"
"250","Manhattan","32","10-22","209","6.5"
"251","UC Davis","31","19-12","202","6.5"
"252","Ark.-Pine Bluff","32","7-25","208","6.5"
"","Eastern Mich.","32","16-16","208","6.5"
"254","Portland","33","11-22","214","6.5"
"255","Western Mich.","31","16-15","201","6.5"
"256","Little Rock","32","15-17","207","6.5"
"257","Vermont","33","28-5","213","6.5"
"","FGCU","33","26-7","213","6.5"
"259","Miami (FL)","31","21-10","200","6.5"
"","Southern Miss.","31","9-22","200","6.5"
"","Alabama St.","31","8-23","200","6.5"
"262","Georgetown","32","14-18","206","6.4"
"","Navy","32","16-16","206","6.4"
"","Kennesaw St.","32","14-18","206","6.4"
"265","St. Bonaventure","30","19-11","192","6.4"
"266","Houston Baptist","29","17-12","185","6.4"
"","Hampton","29","14-15","185","6.4"
"268","Long Beach St.","32","14-18","204","6.4"
"269","CSU Bakersfield","29","21-8","184","6.3"
"270","Oregon St.","32","5-27","203","6.3"
"271","Gardner-Webb","33","19-14","209","6.3"
"272","High Point","31","15-16","196","6.3"
"","Minnesota","31","23-8","196","6.3"
"","Middle Tenn.","31","27-4","196","6.3"
"","LSU","31","10-21","196","6.3"
"276","James Madison","33","10-23","208","6.3"
"277","Fresno St.","30","19-11","188","6.3"
"278","Sacred Heart","32","13-19","200","6.3"
"","N.C. A&T","32","3-29","200","6.3"
"","Sam Houston St.","32","20-12","200","6.3"
"281","Cal St. Fullerton","29","16-13","181","6.2"
"282","Florida A&M","30","7-23","187","6.2"
"","Texas A&M","30","16-14","187","6.2"
"284","Green Bay","31","18-13","193","6.2"
