NCAA Men's Basketball,,,,
Division IFewest Fouls,,,,
Through Games 03/08/2017,,,,
Rank,Name,GM,W-L,Fouls
,Stony Brook,31,18-13,600
,San Diego,31,13-18,600
198,Oklahoma,31,20-Nov,601
,Northern Ky.,34,24-10,601
200,Hampton,29,14-15,602
,Boise St.,29,19-10,602
,Valparaiso,32,24-8,602
203,Northwestern,31,21-10,603
,Colgate,32,22-Oct,603
,Denver,30,16-14,603
206,Georgia St.,30,19-11,604
,Niagara,33,23-Oct,604
,Hartford,32,23-Sep,604
,Stanford,31,14-17,604
210,Jacksonville,32,17-15,605
,Florida St.,31,24-7,605
212,Central Ark.,32,24-Aug,606
213,Rice,32,22-10,608
,Delaware St.,32,22-Oct,608
,Stetson,32,21-Nov,608
,Washington,30,21-Sep,608
,Quinnipiac,31,21-Oct,608
218,Green Bay,31,18-13,609
219,Boston U.,32,18-14,610
,Loyola Marymount,30,15-15,610
221,Southern U.,32,15-17,611
,Xavier,32,20-12,611
,Oregon St.,32,27-May,611
224,Liberty,32,19-13,612
,Mt. St. Mary's,34,19-15,612
,Kent St.,32,19-13,612
,Central Mich.,32,16-16,612
,Ball St.,31,20-11,612
229,Cal St. Fullerton,29,16-13,613
,Ga. Southern,31,18-13,613
,Kennesaw St.,32,14-18,613
,FGCU,33,26-7,613
,Eastern Wash.,31,21-10,613
234,UC Davis,31,19-12,614
,UNCG,34,25-9,614
236,Campbell,34,17-17,615
,Jacksonville St.,34,20-14,615
238,Wagner,30,16-14,616
,Wofford,33,16-17,616
240,Santa Clara,33,17-16,617
,Sacred Heart,32,13-19,617
,Omaha,32,18-14,617
243,CSUN,29,18-Nov,619
,Northern Ill.,32,15-17,619
,Mississippi St.,31,16-15,619
,Southeastern La.,32,16-16,619
247,Missouri,31,23-Aug,620
,San Francisco,32,20-12,620
,Eastern Ky.,31,19-Dec,620
250,Charleston So.,31,19-Dec,621
,Ole Miss,31,19-12,621
,Army West Point,32,13-19,621
253,Tulane,30,24-Jun,622
254,Bowling Green,32,13-19,623
255,Ill.-Chicago,33,15-18,624
,Idaho,29,17-12,624
,Mississippi Val.,32,25-Jul,624
258,UTSA,32,14-18,625
259,Delaware,33,13-20,626
260,St. Bonaventure,30,19-11,629
,Marist,32,24-Aug,629
,N.C. A&T,32,29-Mar,629
263,Saint Louis,32,20-Dec,630
,Howard,33,23-Oct,630
,Alabama St.,31,23-Aug,630
,Michigan St.,31,18-13,630
,Bucknell,34,26-8,630
268,UMES,32,13-19,631
269,Indiana,31,17-14,633
,Tennessee St.,30,17-13,633
,CSU Bakersfield,29,21-8,633
272,DePaul,32,23-Sep,634
,Morehead St.,30,14-16,634
,Grambling,32,16-16,634
275,Rhode Island,30,21-9,635
276,Cleveland St.,31,22-Sep,636
277,Fairleigh Dickinson,30,19-Nov,637
278,South Dakota,33,22-11,638
279,North Florida,34,15-19,639
280,Milwaukee,35,24-Nov,641
,BYU,33,22-11,641
,LIU Brooklyn,32,20-12,641
283,Wake Forest,32,19-13,643
,Wichita St.,34,30-4,643
,Miami (OH),32,21-Nov,643
,Appalachian St.,30,21-Sep,643
287,Southeast Mo. St.,33,15-18,644
,Canisius,33,18-15,644
289,Bethune-Cookman,32,22-Oct,645
,Drexel,32,23-Sep,645
,South Carolina,31,22-9,645
,Fresno St.,30,19-11,645
,West Virginia,31,24-7,645
294,Long Beach St.,32,14-18,646
295,Arkansas,31,23-8,647
296,VCU,31,24-7,648
,Jackson St.,32,14-18,648
,Norfolk St.,31,16-15,648
299,Iona,34,22-12,652
,Tennessee,31,16-15,652
,Samford,34,19-15,652
302,South Ala.,32,14-18,653
,Rider,33,18-15,653
,Arkansas St.,32,20-12,653
305,SFA,30,17-13,654
306,IUPUI,32,14-18,655
307,SIUE,30,24-Jun,657
308,Evansville,33,16-17,660
,Indiana St.,31,20-Nov,660
310,Murray St.,33,16-17,661
311,Western Caro.,32,23-Sep,662
312,James Madison,33,23-Oct,668
,Siena,34,17-17,668
314,St. John's (NY),32,14-18,670
,Gardner-Webb,33,19-14,670
316,Robert Morris,33,14-19,671
317,Bradley,33,13-20,672
,Auburn,32,18-14,672
,Georgetown,32,14-18,672
320,St. Francis Brooklyn,31,27-Apr,673
321,Tennessee Tech,32,20-Dec,675
322,Monmouth,33,27-6,678
323,ETSU,34,27-7,679
,UNCW,34,29-5,679
325,Bryant,32,20-Dec,680
326,UC Irvine,32,19-13,681
,Montana,31,16-15,681
328,UMKC,31,16-15,683
329,Eastern Mich.,32,16-16,684
330,Wyoming,32,18-14,686
,Towson,33,20-13,686
332,Oklahoma St.,31,20-11,688
333,Pacific,33,22-Nov,690
